age,marital,education,balance,housing,loan,duration,campaign,pdays,previous,poutcome,deposit
46,married,primary,179,yes,no,1778,1,-1,0,unknown,no
32,married,tertiary,0,yes,no,138,1,-1,0,unknown,no
53,divorced,secondary,989,yes,no,812,1,-1,0,unknown,no
57,married,primary,249,yes,no,164,1,-1,0,unknown,no
33,married,secondary,790,yes,no,391,1,-1,0,unknown,no
49,married,unknown,154,yes,no,357,1,-1,0,unknown,no
51,married,tertiary,6530,yes,no,91,1,-1,0,unknown,no
60,married,tertiary,100,no,no,528,1,-1,0,unknown,no
59,divorced,tertiary,59,yes,no,273,1,-1,0,unknown,no
55,married,secondary,1205,yes,no,158,2,-1,0,unknown,no
35,single,secondary,12223,yes,yes,177,1,-1,0,unknown,no
57,married,secondary,5935,yes,yes,258,1,-1,0,unknown,no
31,married,secondary,25,yes,yes,172,1,-1,0,unknown,no
54,married,secondary,282,yes,yes,154,1,-1,0,unknown,no
55,married,primary,23,yes,no,291,1,-1,0,unknown,no
43,married,secondary,1937,yes,no,181,1,-1,0,unknown,no
53,married,secondary,384,yes,no,176,1,-1,0,unknown,no
44,married,secondary,582,no,yes,211,1,-1,0,unknown,no
55,divorced,secondary,91,no,no,349,1,-1,0,unknown,no
49,divorced,secondary,0,yes,yes,272,1,-1,0,unknown,no
55,divorced,secondary,1,yes,no,208,1,-1,0,unknown,no
45,single,secondary,206,yes,no,193,1,-1,0,unknown,no
47,divorced,secondary,164,no,no,212,1,-1,0,unknown,no
42,single,secondary,690,yes,no,20,1,-1,0,unknown,no
59,married,secondary,2343,yes,no,1042,1,-1,0,unknown,yes
46,married,tertiary,137,yes,yes,246,1,-1,0,unknown,no
51,married,primary,173,yes,no,529,2,-1,0,unknown,no
56,married,secondary,45,no,no,1467,1,-1,0,unknown,yes
41,married,secondary,1270,yes,no,1389,1,-1,0,unknown,yes
46,divorced,secondary,16,yes,yes,188,2,-1,0,unknown,no
57,married,secondary,486,yes,no,180,2,-1,0,unknown,no
42,single,secondary,50,no,no,48,1,-1,0,unknown,no
30,married,secondary,152,yes,yes,213,2,-1,0,unknown,no
60,married,secondary,290,yes,no,583,1,-1,0,unknown,no
60,married,unknown,54,yes,no,221,1,-1,0,unknown,no
57,divorced,secondary,-37,no,no,173,1,-1,0,unknown,no
36,married,tertiary,101,yes,yes,426,1,-1,0,unknown,no
55,married,secondary,383,no,no,287,1,-1,0,unknown,no
60,married,tertiary,81,yes,no,101,1,-1,0,unknown,no
39,married,secondary,0,yes,no,203,1,-1,0,unknown,no
46,married,tertiary,229,yes,no,197,1,-1,0,unknown,no
44,married,secondary,-674,yes,no,257,1,-1,0,unknown,no
53,married,primary,90,no,no,124,1,-1,0,unknown,no
52,married,primary,128,yes,no,229,1,-1,0,unknown,no
59,married,primary,179,yes,no,55,3,-1,0,unknown,no
27,single,tertiary,0,yes,no,400,1,-1,0,unknown,no
44,married,secondary,54,yes,no,197,1,-1,0,unknown,no
47,married,tertiary,151,yes,no,190,1,-1,0,unknown,no
34,married,secondary,61,no,yes,21,1,-1,0,unknown,no
59,single,secondary,30,yes,no,514,1,-1,0,unknown,no
45,married,tertiary,523,yes,no,849,2,-1,0,unknown,no
29,divorced,secondary,31,yes,no,194,1,-1,0,unknown,no
46,divorced,secondary,79,no,no,144,1,-1,0,unknown,no
56,married,primary,-34,yes,yes,212,2,-1,0,unknown,no
36,married,primary,448,yes,no,286,1,-1,0,unknown,no
59,divorced,primary,81,yes,no,107,1,-1,0,unknown,no
44,married,secondary,144,yes,no,247,2,-1,0,unknown,no
41,married,secondary,351,yes,no,518,1,-1,0,unknown,no
33,single,tertiary,-67,yes,no,364,1,-1,0,unknown,no
59,divorced,tertiary,262,no,no,178,1,-1,0,unknown,no
57,married,primary,0,no,no,98,1,-1,0,unknown,no
56,divorced,unknown,56,yes,no,439,1,-1,0,unknown,no
51,married,secondary,26,yes,no,79,1,-1,0,unknown,no
34,married,unknown,3,yes,no,120,3,-1,0,unknown,no
43,married,secondary,41,yes,yes,127,2,-1,0,unknown,no
52,married,tertiary,7,no,yes,175,1,-1,0,unknown,no
33,single,secondary,105,yes,no,262,2,-1,0,unknown,no
29,single,secondary,818,yes,yes,61,1,-1,0,unknown,no
34,married,secondary,-16,yes,yes,78,1,-1,0,unknown,no
31,married,secondary,0,yes,no,143,1,-1,0,unknown,no
55,married,secondary,2476,yes,no,579,1,-1,0,unknown,yes
55,married,unknown,1185,no,no,677,1,-1,0,unknown,no
32,single,secondary,217,yes,no,345,1,-1,0,unknown,no
38,single,secondary,1685,yes,no,185,1,-1,0,unknown,no
55,single,secondary,802,yes,yes,100,2,-1,0,unknown,no
28,single,tertiary,0,yes,no,125,2,-1,0,unknown,no
23,married,secondary,94,yes,no,193,1,-1,0,unknown,no
32,single,secondary,0,yes,no,136,1,-1,0,unknown,no
43,single,unknown,0,no,no,73,1,-1,0,unknown,no
32,married,secondary,517,yes,no,528,1,-1,0,unknown,no
46,married,secondary,265,yes,no,541,1,-1,0,unknown,no
53,divorced,primary,947,yes,no,163,1,-1,0,unknown,no
34,single,secondary,3,yes,no,301,1,-1,0,unknown,no
57,married,tertiary,42,no,no,46,1,-1,0,unknown,no
37,married,secondary,37,yes,no,204,1,-1,0,unknown,no
59,married,secondary,57,yes,no,98,1,-1,0,unknown,no
33,married,secondary,22,yes,no,71,1,-1,0,unknown,no
56,divorced,primary,8,yes,no,157,2,-1,0,unknown,no
48,married,secondary,293,yes,no,243,1,-1,0,unknown,no
43,married,primary,3,yes,no,186,2,-1,0,unknown,no
54,married,primary,348,yes,no,579,2,-1,0,unknown,no
51,married,unknown,-19,yes,no,163,2,-1,0,unknown,no
26,single,secondary,0,yes,no,610,2,-1,0,unknown,no
40,married,tertiary,-4,yes,no,2033,1,-1,0,unknown,no
39,married,secondary,18,yes,no,85,1,-1,0,unknown,no
50,married,primary,139,no,no,114,2,-1,0,unknown,no
41,married,secondary,0,yes,no,114,2,-1,0,unknown,no
51,married,unknown,1883,yes,no,57,1,-1,0,unknown,no
60,divorced,secondary,216,yes,no,238,1,-1,0,unknown,no
52,married,secondary,782,yes,no,93,3,-1,0,unknown,no
48,married,secondary,904,yes,no,128,2,-1,0,unknown,no
48,married,unknown,1705,yes,no,107,1,-1,0,unknown,no
39,single,tertiary,47,yes,no,181,1,-1,0,unknown,no
47,single,secondary,176,yes,no,303,2,-1,0,unknown,no
40,married,secondary,1225,yes,no,558,5,-1,0,unknown,no
45,married,secondary,86,yes,no,270,1,-1,0,unknown,no
26,single,secondary,82,yes,no,228,1,-1,0,unknown,no
52,married,tertiary,271,yes,no,99,1,-1,0,unknown,no
54,married,secondary,1378,yes,no,240,1,-1,0,unknown,no
54,married,tertiary,184,no,no,673,2,-1,0,unknown,yes
50,married,primary,0,no,no,233,3,-1,0,unknown,no
35,married,secondary,0,yes,no,1056,1,-1,0,unknown,no
44,married,secondary,1357,yes,yes,250,1,-1,0,unknown,no
53,married,unknown,19,yes,no,252,1,-1,0,unknown,no
35,single,primary,434,no,no,138,1,-1,0,unknown,no
60,divorced,secondary,92,yes,no,130,1,-1,0,unknown,no
53,divorced,secondary,1151,yes,no,412,1,-1,0,unknown,no
48,married,secondary,41,yes,no,179,2,-1,0,unknown,no
34,married,secondary,51,yes,no,19,2,-1,0,unknown,no
54,married,secondary,214,yes,no,458,2,-1,0,unknown,no
51,married,secondary,1161,yes,no,717,1,-1,0,unknown,no
31,married,tertiary,37,yes,no,313,1,-1,0,unknown,no
35,divorced,secondary,787,yes,no,683,2,-1,0,unknown,no
35,married,secondary,59,yes,no,1077,1,-1,0,unknown,no
38,married,secondary,253,yes,no,416,1,-1,0,unknown,no
36,married,tertiary,211,yes,no,146,2,-1,0,unknown,no
58,married,primary,235,yes,no,167,1,-1,0,unknown,no
40,divorced,unknown,4384,yes,no,315,1,-1,0,unknown,no
54,married,secondary,4080,no,no,140,1,-1,0,unknown,no
34,single,secondary,53,yes,yes,346,1,-1,0,unknown,no
31,single,tertiary,0,yes,no,562,1,-1,0,unknown,no
51,married,secondary,2127,yes,no,172,1,-1,0,unknown,no
33,married,tertiary,377,yes,no,217,1,-1,0,unknown,no
55,married,tertiary,73,yes,no,142,2,-1,0,unknown,no
42,married,secondary,445,yes,no,67,1,-1,0,unknown,no
34,married,secondary,243,yes,no,291,1,-1,0,unknown,no
33,single,secondary,307,yes,no,309,2,-1,0,unknown,no
38,married,secondary,155,yes,no,248,1,-1,0,unknown,no
50,divorced,tertiary,173,no,yes,98,1,-1,0,unknown,no
43,married,tertiary,400,yes,no,256,1,-1,0,unknown,no
61,divorced,primary,1428,yes,no,82,2,-1,0,unknown,no
47,married,secondary,219,yes,no,577,1,-1,0,unknown,no
48,married,tertiary,7,yes,no,286,1,-1,0,unknown,no
44,married,secondary,575,yes,no,477,1,-1,0,unknown,no
35,single,unknown,298,yes,no,611,2,-1,0,unknown,no
35,married,secondary,0,yes,no,471,1,-1,0,unknown,no
50,married,secondary,5699,yes,no,381,2,-1,0,unknown,no
41,married,tertiary,176,yes,yes,42,1,-1,0,unknown,no
41,married,tertiary,517,yes,no,251,1,-1,0,unknown,no
39,single,unknown,257,yes,no,408,1,-1,0,unknown,no
42,married,secondary,56,yes,no,215,1,-1,0,unknown,no
38,married,secondary,-390,yes,no,287,1,-1,0,unknown,no
53,married,secondary,330,yes,no,216,2,-1,0,unknown,no
59,divorced,primary,195,no,no,366,2,-1,0,unknown,no
36,married,secondary,301,yes,no,210,1,-1,0,unknown,no
54,married,primary,-41,yes,no,288,1,-1,0,unknown,no
40,married,tertiary,483,yes,no,168,1,-1,0,unknown,no
47,married,unknown,28,no,no,338,2,-1,0,unknown,no
53,married,unknown,13,no,no,410,3,-1,0,unknown,no
46,married,primary,965,no,no,177,1,-1,0,unknown,no
39,married,tertiary,378,yes,yes,127,2,-1,0,unknown,no
40,married,secondary,219,yes,no,357,1,-1,0,unknown,no
28,married,primary,324,yes,no,175,1,-1,0,unknown,no
35,divorced,secondary,-69,yes,no,300,1,-1,0,unknown,no
55,married,secondary,0,no,yes,136,1,-1,0,unknown,no
43,divorced,unknown,205,yes,no,1419,1,-1,0,unknown,no
48,married,primary,278,yes,no,125,2,-1,0,unknown,no
58,married,unknown,1065,yes,no,213,3,-1,0,unknown,no
33,single,tertiary,34,yes,no,27,1,-1,0,unknown,no
36,married,unknown,1033,no,no,238,2,-1,0,unknown,no
53,divorced,secondary,1467,yes,no,124,1,-1,0,unknown,no
47,married,primary,-12,yes,no,18,1,-1,0,unknown,no
31,married,secondary,388,yes,no,730,2,-1,0,unknown,no
57,married,secondary,294,yes,no,746,2,-1,0,unknown,no
53,married,unknown,1827,no,no,121,1,-1,0,unknown,no
55,married,primary,627,yes,no,247,1,-1,0,unknown,no
45,married,primary,25,yes,no,40,1,-1,0,unknown,no
53,divorced,secondary,315,yes,no,181,2,-1,0,unknown,no
37,married,primary,0,yes,no,79,1,-1,0,unknown,no
44,divorced,secondary,66,yes,no,206,1,-1,0,unknown,no
49,divorced,primary,-9,yes,yes,389,1,-1,0,unknown,no
46,married,secondary,349,yes,yes,127,1,-1,0,unknown,no
43,married,unknown,100,yes,no,702,1,-1,0,unknown,no
38,married,secondary,0,no,no,151,1,-1,0,unknown,no
43,married,secondary,434,yes,no,117,1,-1,0,unknown,no
49,married,tertiary,3237,yes,no,232,3,-1,0,unknown,no
42,married,unknown,275,no,no,408,2,-1,0,unknown,no
22,single,secondary,0,yes,no,179,2,-1,0,unknown,no
40,married,tertiary,207,yes,no,39,1,-1,0,unknown,no
39,married,secondary,483,yes,no,282,1,-1,0,unknown,no
51,married,secondary,2248,yes,no,714,2,-1,0,unknown,no
49,married,secondary,428,yes,no,50,1,-1,0,unknown,no
53,married,secondary,0,yes,yes,181,1,-1,0,unknown,no
34,single,secondary,0,yes,no,142,1,-1,0,unknown,no
33,divorced,secondary,140,yes,no,227,1,-1,0,unknown,no
50,single,tertiary,297,yes,no,119,1,-1,0,unknown,no
39,married,primary,279,yes,no,361,1,-1,0,unknown,no
59,divorced,secondary,901,yes,no,73,3,-1,0,unknown,no
30,single,secondary,2573,yes,no,67,2,-1,0,unknown,no
36,married,secondary,143,yes,yes,350,1,-1,0,unknown,no
40,married,secondary,475,yes,no,332,2,-1,0,unknown,no
53,married,secondary,70,yes,no,611,2,-1,0,unknown,no
34,single,tertiary,318,yes,no,113,2,-1,0,unknown,no
37,married,secondary,275,yes,no,132,1,-1,0,unknown,no
42,divorced,tertiary,742,yes,no,58,3,-1,0,unknown,no
41,married,primary,236,yes,no,151,1,-1,0,unknown,no
30,single,tertiary,25,yes,no,89,2,-1,0,unknown,no
37,single,tertiary,600,yes,no,152,1,-1,0,unknown,no
39,divorced,secondary,-349,yes,no,611,2,-1,0,unknown,no
41,married,primary,183,yes,yes,110,2,-1,0,unknown,no
40,married,primary,0,yes,no,463,1,-1,0,unknown,no
42,single,tertiary,0,yes,yes,562,2,-1,0,unknown,yes
40,divorced,primary,0,yes,no,962,1,-1,0,unknown,no
57,married,secondary,1078,yes,no,10,4,-1,0,unknown,no
56,divorced,secondary,155,no,no,118,3,-1,0,unknown,no
37,married,secondary,190,yes,no,92,2,-1,0,unknown,no
59,married,secondary,319,yes,no,143,3,-1,0,unknown,no
39,divorced,secondary,-185,yes,no,189,3,-1,0,unknown,no
49,married,secondary,47,no,no,234,2,-1,0,unknown,no
38,single,secondary,570,yes,no,75,2,-1,0,unknown,no
36,married,tertiary,19,no,no,189,2,-1,0,unknown,no
50,married,primary,61,yes,no,621,3,-1,0,unknown,no
41,married,secondary,-62,yes,yes,55,2,-1,0,unknown,no
54,married,tertiary,258,no,no,310,4,-1,0,unknown,no
58,married,primary,76,yes,no,156,2,-1,0,unknown,no
30,single,secondary,0,yes,no,5,2,-1,0,unknown,no
33,single,secondary,352,yes,no,225,2,-1,0,unknown,no
47,married,secondary,368,yes,no,125,2,-1,0,unknown,no
50,single,tertiary,339,yes,no,2,3,-1,0,unknown,no
32,married,secondary,1331,yes,no,286,2,-1,0,unknown,no
40,married,secondary,672,yes,no,164,2,-1,0,unknown,no
37,married,tertiary,58,yes,no,98,2,-1,0,unknown,no
54,single,unknown,447,yes,no,742,2,-1,0,unknown,no
24,single,secondary,423,yes,no,226,3,-1,0,unknown,no
54,married,tertiary,0,no,no,120,2,-1,0,unknown,no
34,married,secondary,19,yes,no,362,4,-1,0,unknown,no
56,divorced,primary,13,yes,no,357,2,-1,0,unknown,no
31,single,secondary,3,yes,no,200,2,-1,0,unknown,no
24,single,secondary,82,yes,no,204,2,-1,0,unknown,no
42,divorced,primary,28,yes,no,126,3,-1,0,unknown,no
57,married,secondary,792,yes,no,65,2,-1,0,unknown,no
42,married,unknown,408,yes,no,107,2,-1,0,unknown,no
51,married,secondary,531,yes,no,267,2,-1,0,unknown,no
57,married,secondary,211,yes,no,248,2,-1,0,unknown,no
36,single,secondary,62,yes,no,215,2,-1,0,unknown,no
53,married,unknown,257,yes,no,209,2,-1,0,unknown,no
50,married,secondary,1234,yes,no,205,2,-1,0,unknown,no
54,married,tertiary,313,yes,no,83,2,-1,0,unknown,no
55,married,secondary,89,yes,no,106,3,-1,0,unknown,no
44,married,secondary,129,yes,yes,189,2,-1,0,unknown,no
43,married,unknown,0,yes,no,105,2,-1,0,unknown,no
56,married,secondary,353,yes,no,106,2,-1,0,unknown,no
54,married,unknown,851,yes,no,108,2,-1,0,unknown,no
55,divorced,primary,96,yes,yes,311,2,-1,0,unknown,no
37,divorced,secondary,398,yes,yes,214,2,-1,0,unknown,no
33,single,tertiary,193,no,no,132,2,-1,0,unknown,no
46,married,secondary,-358,yes,no,358,2,-1,0,unknown,no
36,married,secondary,539,yes,yes,453,2,-1,0,unknown,no
51,single,secondary,0,yes,no,364,2,-1,0,unknown,no
40,single,primary,0,no,no,136,2,-1,0,unknown,no
42,married,secondary,490,yes,no,386,2,-1,0,unknown,no
51,married,secondary,0,yes,no,173,2,-1,0,unknown,no
49,married,unknown,403,yes,no,241,2,-1,0,unknown,no
48,married,secondary,161,yes,no,224,3,-1,0,unknown,no
32,divorced,tertiary,2558,no,no,148,2,-1,0,unknown,no
31,single,secondary,98,yes,no,196,2,-1,0,unknown,no
55,single,tertiary,115,no,no,111,4,-1,0,unknown,no
40,single,secondary,436,yes,no,231,3,-1,0,unknown,no
47,married,tertiary,831,yes,no,316,3,-1,0,unknown,no
57,married,unknown,206,yes,no,216,3,-1,0,unknown,no
41,married,secondary,290,yes,no,240,2,-1,0,unknown,no
48,married,secondary,1,no,no,669,3,-1,0,unknown,no
42,married,unknown,57,yes,no,425,2,-1,0,unknown,no
30,single,secondary,-457,yes,no,143,2,-1,0,unknown,no
58,single,tertiary,1387,yes,no,174,5,-1,0,unknown,no
45,divorced,tertiary,24598,yes,no,313,3,-1,0,unknown,no
49,married,secondary,30,yes,no,135,4,-1,0,unknown,no
42,single,secondary,1022,yes,no,146,2,-1,0,unknown,no
53,married,secondary,56,yes,yes,152,2,-1,0,unknown,no
51,single,secondary,-2,no,no,402,3,-1,0,unknown,no
32,single,secondary,121,yes,no,213,2,-1,0,unknown,no
41,single,secondary,842,yes,no,144,3,-1,0,unknown,no
43,divorced,secondary,693,yes,no,124,3,-1,0,unknown,no
40,divorced,secondary,-333,yes,no,183,2,-1,0,unknown,no
50,married,primary,1533,yes,no,325,2,-1,0,unknown,no
34,married,tertiary,46,yes,no,39,4,-1,0,unknown,no
53,married,unknown,18,no,no,503,2,-1,0,unknown,no
45,married,secondary,44,yes,no,95,4,-1,0,unknown,no
39,married,primary,-100,yes,no,680,2,-1,0,unknown,no
44,married,tertiary,510,yes,no,421,4,-1,0,unknown,no
55,married,tertiary,685,yes,no,174,3,-1,0,unknown,no
46,single,tertiary,187,yes,no,113,2,-1,0,unknown,no
45,married,secondary,66,yes,no,808,2,-1,0,unknown,no
34,married,secondary,560,yes,no,198,3,-1,0,unknown,no
36,married,secondary,0,yes,no,195,2,-1,0,unknown,no
59,divorced,unknown,27,no,no,347,3,-1,0,unknown,no
31,single,secondary,12,yes,no,208,2,-1,0,unknown,no
44,single,secondary,34,yes,no,404,4,-1,0,unknown,no
33,single,tertiary,1068,yes,no,396,2,-1,0,unknown,no
40,married,secondary,211,yes,no,216,4,-1,0,unknown,no
46,single,tertiary,377,yes,no,98,2,-1,0,unknown,no
48,married,tertiary,263,yes,no,350,2,-1,0,unknown,no
42,married,secondary,1263,yes,no,114,2,-1,0,unknown,no
27,married,secondary,8,yes,no,88,3,-1,0,unknown,no
48,married,secondary,126,yes,yes,379,2,-1,0,unknown,no
59,married,secondary,230,yes,no,190,3,-1,0,unknown,no
46,married,tertiary,841,yes,no,158,1,-1,0,unknown,no
38,divorced,secondary,308,yes,no,102,1,-1,0,unknown,no
43,divorced,tertiary,1,yes,no,306,1,-1,0,unknown,no
38,divorced,tertiary,86,yes,no,218,1,-1,0,unknown,no
23,single,secondary,157,yes,no,54,1,-1,0,unknown,no
34,married,secondary,22,yes,no,344,1,-1,0,unknown,no
38,married,secondary,46,yes,yes,195,1,-1,0,unknown,no
37,married,secondary,1293,no,no,652,1,-1,0,unknown,no
25,single,secondary,122,yes,no,286,1,-1,0,unknown,no
48,married,unknown,131,yes,no,189,1,-1,0,unknown,no
49,single,secondary,143,yes,no,83,1,-1,0,unknown,no
38,single,secondary,393,no,no,184,2,-1,0,unknown,no
43,married,primary,98,yes,no,235,1,-1,0,unknown,no
33,married,tertiary,0,yes,no,290,1,-1,0,unknown,no
55,married,secondary,224,yes,no,232,1,-1,0,unknown,no
38,married,secondary,757,yes,no,133,1,-1,0,unknown,no
49,married,secondary,245,yes,yes,318,1,-1,0,unknown,no
40,married,secondary,8486,no,no,260,3,-1,0,unknown,no
43,married,unknown,350,no,no,437,1,-1,0,unknown,no
38,married,secondary,20,yes,no,402,1,-1,0,unknown,no
58,married,secondary,1667,yes,yes,85,1,-1,0,unknown,no
57,married,unknown,345,yes,no,125,1,-1,0,unknown,no
32,married,secondary,10,yes,no,501,4,-1,0,unknown,no
56,married,tertiary,830,yes,yes,1201,1,-1,0,unknown,yes
58,divorced,unknown,29,yes,no,253,1,-1,0,unknown,no
60,divorced,secondary,545,yes,no,1030,1,-1,0,unknown,yes
37,married,tertiary,8730,yes,no,149,1,-1,0,unknown,no
46,divorced,tertiary,477,yes,no,114,1,-1,0,unknown,no
27,married,secondary,4,yes,no,243,1,-1,0,unknown,no
43,married,secondary,1205,yes,no,769,2,-1,0,unknown,no
32,single,secondary,0,yes,yes,135,3,-1,0,unknown,no
40,single,secondary,263,yes,no,231,1,-1,0,unknown,no
38,married,secondary,1,no,no,76,1,-1,0,unknown,no
34,married,secondary,283,no,yes,199,1,-1,0,unknown,no
47,married,primary,206,yes,no,152,1,-1,0,unknown,no
42,married,primary,17,yes,no,124,1,-1,0,unknown,no
48,married,secondary,141,yes,yes,424,1,-1,0,unknown,no
29,single,tertiary,16,yes,no,43,1,-1,0,unknown,no
50,married,secondary,206,yes,no,154,1,-1,0,unknown,no
52,married,unknown,7,no,no,203,2,-1,0,unknown,no
50,married,tertiary,0,no,no,326,1,-1,0,unknown,no
58,married,tertiary,0,no,no,393,1,-1,0,unknown,no
46,divorced,primary,1927,yes,no,241,3,-1,0,unknown,no
38,married,secondary,284,yes,no,483,1,-1,0,unknown,no
46,married,secondary,1660,yes,no,259,1,-1,0,unknown,no
32,single,secondary,406,yes,no,227,1,-1,0,unknown,no
51,married,primary,230,yes,no,673,1,-1,0,unknown,no
39,single,secondary,-25,yes,no,576,1,-1,0,unknown,no
48,married,secondary,182,yes,no,180,2,-1,0,unknown,no
36,married,tertiary,1169,yes,no,168,2,-1,0,unknown,no
34,divorced,secondary,67,yes,no,90,1,-1,0,unknown,no
40,married,secondary,77,no,no,505,1,-1,0,unknown,no
43,married,secondary,0,yes,no,245,1,-1,0,unknown,no
52,divorced,primary,55,yes,yes,186,1,-1,0,unknown,no
33,married,secondary,72,yes,no,623,1,-1,0,unknown,no
49,single,tertiary,163,yes,no,496,3,-1,0,unknown,no
32,single,tertiary,151,yes,no,118,1,-1,0,unknown,no
39,single,secondary,113,yes,no,342,1,-1,0,unknown,no
40,married,secondary,0,yes,no,225,1,-1,0,unknown,no
38,single,tertiary,9,yes,no,185,3,-1,0,unknown,no
43,married,secondary,375,yes,no,196,2,-1,0,unknown,no
39,married,secondary,1142,yes,no,276,1,-1,0,unknown,no
54,married,primary,2102,yes,no,76,1,-1,0,unknown,no
38,single,tertiary,4325,yes,no,87,1,-1,0,unknown,no
40,married,secondary,217,yes,no,195,1,-1,0,unknown,no
55,married,secondary,131,yes,no,744,1,-1,0,unknown,no
42,married,tertiary,1680,yes,no,765,1,-1,0,unknown,no
39,married,secondary,0,yes,no,262,1,-1,0,unknown,no
40,married,primary,46,yes,no,119,1,-1,0,unknown,no
32,married,secondary,320,yes,no,198,2,-1,0,unknown,no
55,married,secondary,183,yes,no,150,1,-1,0,unknown,no
45,married,secondary,39,no,no,241,1,-1,0,unknown,no
35,single,tertiary,560,yes,no,181,1,-1,0,unknown,no
58,divorced,secondary,469,no,no,196,1,-1,0,unknown,no
35,married,secondary,530,yes,no,149,1,-1,0,unknown,no
49,married,primary,61,yes,no,246,1,-1,0,unknown,no
34,single,tertiary,242,yes,no,112,1,-1,0,unknown,no
36,married,secondary,139,yes,no,309,2,-1,0,unknown,no
24,single,secondary,0,yes,no,278,1,-1,0,unknown,no
34,married,secondary,367,yes,no,140,1,-1,0,unknown,no
51,divorced,secondary,228,yes,no,136,1,-1,0,unknown,no
39,single,unknown,45248,yes,no,1623,1,-1,0,unknown,yes
50,married,unknown,-84,yes,no,101,1,-1,0,unknown,no
32,single,secondary,310,yes,no,144,1,-1,0,unknown,no
42,married,unknown,132,yes,no,238,1,-1,0,unknown,no
50,married,secondary,797,yes,no,354,1,-1,0,unknown,no
40,married,secondary,71,no,no,79,1,-1,0,unknown,no
46,divorced,unknown,2,yes,no,187,1,-1,0,unknown,no
37,married,tertiary,231,yes,yes,451,2,-1,0,unknown,no
34,married,secondary,270,yes,yes,159,1,-1,0,unknown,no
